"U already said that all program languages are stand-alone applications but then java,.net... Etc we can develop standalone as well as web applications how 🙄🙄🙄🙄",question
"I LOVE YOUR EXPLANATION  SIR",positive
"Your teaching Skill is too good",positive
"U are saying in easy way sir",positive
"sir i not IT filed how can i m improve my coding",question
"your courses sir really  are very precious ...thanks a million for it",positive
"You are the best language teacher on internet",positive
"Sir...",other
"too much ads 😒😣😣😣😣",negative
"Nice to watching your tutorial videos sir.",positive
"Its very helpfull us. who wants to learn diffrent kinds if languages...THANKS A LOTS SIR★",positive
"Android is a programming language???",other
"Sir , Is python a platfrom depended language???",question
"Teaching is said be one of the noblest profession and sir your are true example to it thank you.",positive
"Nyz",other
"Please Sir tell how to get all videos serial wise",question
"thanks sir ....a lot of thanks ...upload more videos ..",suggestion
"Dear respected sir., According to my idea ,you are the best teacher for c language. Thank you sir.",positive
"sir I want full video on c language for nielit o level plz plz",suggestion
"You are good teacher sir",positive
"i want to learn programes in easy  manner .online code compilation is good.",other
"awesome sir your teaching style is very good",positive
"sir u have very good talent...plz upload a video about DLD ....",suggestion
"Thank u sir for this platform of programming sir we want part -3 it was missing",suggestion
"HATS OFF SIR! I'M SUBSCRIBING TO YOUR CHANNEL BEING A CSE STUDENT.",positive
"Very nice sir👍👍",positive
"your Genies ....",positive
"GR 8 job sir warm regards🙏🙏",positive
"Nice teaching skill....best way of teaching to understand the new learner...thank you sir....",positive
"Srinivas Sir, thankyou so much. Your videos of C language are awesome. Easy to understand. Your teaching skill is superb👌👌👌 Please continue the good work. Highly appreciated 🙏🙏🙏",positive
"good but very slow",positive
"What's the meaning of vlc",question
"Thnxs sir I am seriously proud of you",positive
"nice",positive
"sir your explanation is very good. I can understand all you taught in that video i fill really good .",positive
"what is the purpose of writing main function",question
"your teaching skill is awesome 👍👌",positive
"we can use online compiler to run a program..then how it became standalone application..",question
"C programs can be compiled in browser and that doesn't need installation of software into OS... so C lang is a web app or not sir????",question
"sir i am about to persue cs engineering. will i be benefitted from these lectures?",question




















"it was very useful for my study...thank you sir
"
"may i get notes of c programming
"
"Thank you very much sir....
"
"sir, you are awesome...
"
"Very good tutor!
"
"sir, how to know the videos oder sir
"
"thank  u very very nice
"
"salute#sir...
"
"sir java games also available then why should you  talk only c++ is  used to game development
"
"Awesome teaching sir god bless you
"
"sir I have confused at c,c++ developed standalone but after some time u said it can't developed in this video please give me clarity
"
"Thqqq soooooooooooo much sir
"
"Hello sir i need learn vb software also
"
"sir what is operating system basically do and what is meant operating system
"
"u are boss . i totally understand
"
"Tnxc sir
"
",oru supply kadha sollattuma....eah eah eah.....LOL
"
"Thank you so much Sir .. You are so knowledgeable .. Please continue teaching ..
"
"Thnx alot
"
"Tq sir
"
"Obaid Al Jabry : I had difficulties to understand computer language but now am starting to understand. You are good instructor and I will continue following you. Thank you very much sir.
"
"Very well explained
"
"Nicee sir tq very much
"
"sir .net is platform dependent na but u told .net is platform independent why sir
"
"sir, to write c program language or c++ program there are some online IDE compilers(like geeks for geeks), so how can you say that they are standalone applications ? To write c program in the online compiler there is no need of installing that application... so can we  say that these computer language are also web-applications?
"
"sir, is standalone applications must to acces the web applications ?
"
"very nice. superb explanation
"
"sir,please upload concept of flowcharts in c language
"
"very nice sir
"
"Sir in part2 we need not to install a c pragrammer.we can just install a compiler it is enough to write a programm know?that means computer languages are web apps .
"
"Your language is so easy to understand thank you for this knowledge full video
"
"Thank u very very very much sir... Seriously  I  am thanking u alot... For this video...
"
"explaining in a simple english which makes it easy to understand upload more videos
"
"i am very happy to say that  explaining in english  every childrens even all can understood
"
"Very nicely explained for a beginner in computers. Very good teacher. Thank you so much.
"
"please upload the continuation video after part2
"
"@naresh i technologies plzz provide part 2 continuation and part 3 is missing plzz respond for or reply
"
"sir what about the mobile application which part it is.
"
"Sir, introduction to programming c part 3 when will be available
"
"good classes
"
"sir we need the next video sir ...the continuity is missing
"
"very easy to understand with good examples  thank u sir
"
"explianing in a very normal way(that is in simple english) makes easy to learn
"
"nice videos
"
"sir we want continuation part for this
"
"sir weather python language is standalone or web application sir
"
"tanq.... So much sir
"
"sir after part 2 I m getting variable remaining video is not there plz upload it.
"
"Thanks
"
"Sir i m getting averything but what is difrent between c and c++
"
"sir please post video next to file extension
"
"Sir could you please post all the videos on C++
"
"
"
"Sir ,after in  part 2 u discussed about file extensions . cis platform dependent  but  ,why  c became platform dependent u didn't discussed it where is that video plz upload and after part 2 I am getting variables video my confused plz upload part 2 remaining 
"
"sir please post more videos on functions and pointers and structures and files
"
"thanks #nareshit
"
"please post operator concept videos like post increament pre increament which will be helpful to interview point ..
"
"Thank You sir..!!
"
